{'delta_foot_mass': '0', 'delta_leg_mass': '0.25', 'delta_thigh_mass': '0'}
Using cuda device
Wrapping the env in a DummyVecEnv.
Masses setted to : 2.53, 3.93, 2.71, 5.09
Masses setted to : 2.53, 3.93, 1.12, 5.09
Masses setted to : 2.53, 3.93, 3.36, 5.09
Masses setted to : 2.53, 3.93, 2.54, 5.09
Masses setted to : 2.53, 3.93, 2.84, 5.09
Masses setted to : 2.53, 3.93, 2.71, 5.09
Masses setted to : 2.53, 3.93, 2.85, 5.09
Masses setted to : 2.53, 3.93, 3.05, 5.09
Masses setted to : 2.53, 3.93, 3.37, 5.09
Masses setted to : 2.53, 3.93, 1.56, 5.09
Masses setted to : 2.53, 3.93, 1.03, 5.09
Masses setted to : 2.53, 3.93, 3.08, 5.09
Masses setted to : 2.53, 3.93, 2.45, 5.09
Masses setted to : 2.53, 3.93, 3.03, 5.09
Masses setted to : 2.53, 3.93, 2.25, 5.09
Masses setted to : 2.53, 3.93, 3.60, 5.09
Masses setted to : 2.53, 3.93, 2.58, 5.09
Masses setted to : 2.53, 3.93, 2.86, 5.09
Masses setted to : 2.53, 3.93, 2.74, 5.09
Masses setted to : 2.53, 3.93, 3.30, 5.09
Masses setted to : 2.53, 3.93, 3.27, 5.09
Masses setted to : 2.53, 3.93, 2.11, 5.09
Masses setted to : 2.53, 3.93, 1.94, 5.09
Masses setted to : 2.53, 3.93, 3.61, 5.09
Masses setted to : 2.53, 3.93, 2.82, 5.09
Masses setted to : 2.53, 3.93, 2.27, 5.09
Masses setted to : 2.53, 3.93, 2.13, 5.09
Masses setted to : 2.53, 3.93, 2.57, 5.09
Masses setted to : 2.53, 3.93, 2.32, 5.09
Masses setted to : 2.53, 3.93, 2.62, 5.09
Masses setted to : 2.53, 3.93, 2.08, 5.09
Masses setted to : 2.53, 3.93, 2.56, 5.09
Masses setted to : 2.53, 3.93, 1.74, 5.09
Masses setted to : 2.53, 3.93, 2.52, 5.09
Masses setted to : 2.53, 3.93, 2.29, 5.09
Masses setted to : 2.53, 3.93, 2.38, 5.09
Masses setted to : 2.53, 3.93, 1.91, 5.09
Masses setted to : 2.53, 3.93, 2.26, 5.09
Masses setted to : 2.53, 3.93, 2.50, 5.09
Masses setted to : 2.53, 3.93, 2.35, 5.09
Masses setted to : 2.53, 3.93, 2.94, 5.09
Masses setted to : 2.53, 3.93, 2.84, 5.09
Masses setted to : 2.53, 3.93, 2.01, 5.09
Masses setted to : 2.53, 3.93, 3.97, 5.09
Masses setted to : 2.53, 3.93, 2.23, 5.09
Masses setted to : 2.53, 3.93, 2.29, 5.09
Masses setted to : 2.53, 3.93, 2.90, 5.09
Masses setted to : 2.53, 3.93, 2.39, 5.09
Masses setted to : 2.53, 3.93, 2.61, 5.09
Masses setted to : 2.53, 3.93, 2.17, 5.09
Masses setted to : 2.53, 3.93, 2.15, 5.09
Masses setted to : 2.53, 3.93, 2.52, 5.09
Masses setted to : 2.53, 3.93, 2.09, 5.09
Masses setted to : 2.53, 3.93, 3.81, 5.09
Masses setted to : 2.53, 3.93, 2.04, 5.09
Masses setted to : 2.53, 3.93, 3.55, 5.09
Masses setted to : 2.53, 3.93, 4.05, 5.09
Masses setted to : 2.53, 3.93, 3.49, 5.09
Masses setted to : 2.53, 3.93, 1.74, 5.09
Masses setted to : 2.53, 3.93, 2.16, 5.09
Masses setted to : 2.53, 3.93, 3.09, 5.09
Masses setted to : 2.53, 3.93, 2.20, 5.09
Masses setted to : 2.53, 3.93, 2.28, 5.09
Masses setted to : 2.53, 3.93, 2.45, 5.09
Masses setted to : 2.53, 3.93, 2.88, 5.09
Masses setted to : 2.53, 3.93, 3.57, 5.09
Masses setted to : 2.53, 3.93, 1.64, 5.09
Masses setted to : 2.53, 3.93, 3.69, 5.09
Masses setted to : 2.53, 3.93, 3.39, 5.09
Masses setted to : 2.53, 3.93, 2.61, 5.09
Masses setted to : 2.53, 3.93, 2.50, 5.09
Masses setted to : 2.53, 3.93, 1.51, 5.09
Masses setted to : 2.53, 3.93, 3.32, 5.09
Masses setted to : 2.53, 3.93, 2.96, 5.09
Masses setted to : 2.53, 3.93, 2.62, 5.09
Masses setted to : 2.53, 3.93, 2.26, 5.09
Masses setted to : 2.53, 3.93, 3.44, 5.09
Masses setted to : 2.53, 3.93, 2.97, 5.09
Masses setted to : 2.53, 3.93, 2.08, 5.09
Masses setted to : 2.53, 3.93, 2.20, 5.09
Masses setted to : 2.53, 3.93, 3.53, 5.09
Masses setted to : 2.53, 3.93, 1.74, 5.09
Masses setted to : 2.53, 3.93, 3.26, 5.09
Masses setted to : 2.53, 3.93, 2.78, 5.09
Masses setted to : 2.53, 3.93, 1.91, 5.09
Masses setted to : 2.53, 3.93, 3.26, 5.09
Masses setted to : 2.53, 3.93, 2.44, 5.09
Masses setted to : 2.53, 3.93, 2.41, 5.09
Masses setted to : 2.53, 3.93, 2.64, 5.09
Masses setted to : 2.53, 3.93, 1.31, 5.09
Masses setted to : 2.53, 3.93, 3.90, 5.09
Masses setted to : 2.53, 3.93, 2.99, 5.09
Masses setted to : 2.53, 3.93, 2.61, 5.09
Masses setted to : 2.53, 3.93, 2.22, 5.09
Masses setted to : 2.53, 3.93, 3.51, 5.09
Masses setted to : 2.53, 3.93, 2.83, 5.09
Masses setted to : 2.53, 3.93, 3.66, 5.09
Masses setted to : 2.53, 3.93, 2.06, 5.09
Masses setted to : 2.53, 3.93, 1.53, 5.09
Masses setted to : 2.53, 3.93, 2.12, 5.09
Masses setted to : 2.53, 3.93, 2.40, 5.09
Masses setted to : 2.53, 3.93, 3.01, 5.09
Masses setted to : 2.53, 3.93, 2.57, 5.09
Masses setted to : 2.53, 3.93, 3.07, 5.09
Masses setted to : 2.53, 3.93, 2.86, 5.09
Masses setted to : 2.53, 3.93, 3.83, 5.09
Masses setted to : 2.53, 3.93, 2.21, 5.09
Masses setted to : 2.53, 3.93, 1.99, 5.09
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 19       |
|    ep_rew_mean     | 14.6     |
| time/              |          |
|    fps             | 906      |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 2048     |
---------------------------------
Masses setted to : 2.53, 3.93, 1.72, 5.09
Masses setted to : 2.53, 3.93, 2.90, 5.09
Masses setted to : 2.53, 3.93, 2.94, 5.09
Masses setted to : 2.53, 3.93, 2.72, 5.09
Masses setted to : 2.53, 3.93, 2.55, 5.09
Masses setted to : 2.53, 3.93, 3.24, 5.09
Masses setted to : 2.53, 3.93, 1.89, 5.09
Masses setted to : 2.53, 3.93, 3.03, 5.09
Masses setted to : 2.53, 3.93, 2.72, 5.09
Masses setted to : 2.53, 3.93, 1.81, 5.09
Masses setted to : 2.53, 3.93, 3.05, 5.09
Masses setted to : 2.53, 3.93, 2.05, 5.09
Masses setted to : 2.53, 3.93, 1.07, 5.09
Masses setted to : 2.53, 3.93, 3.11, 5.09
Masses setted to : 2.53, 3.93, 2.07, 5.09
Masses setted to : 2.53, 3.93, 2.55, 5.09
Masses setted to : 2.53, 3.93, 2.30, 5.09
Masses setted to : 2.53, 3.93, 2.59, 5.09
Masses setted to : 2.53, 3.93, 2.19, 5.09
Masses setted to : 2.53, 3.93, 3.53, 5.09
Masses setted to : 2.53, 3.93, 3.18, 5.09
Masses setted to : 2.53, 3.93, 3.08, 5.09
Masses setted to : 2.53, 3.93, 2.84, 5.09
Masses setted to : 2.53, 3.93, 1.83, 5.09
Masses setted to : 2.53, 3.93, 3.16, 5.09
Masses setted to : 2.53, 3.93, 1.80, 5.09
Masses setted to : 2.53, 3.93, 2.88, 5.09
Masses setted to : 2.53, 3.93, 1.97, 5.09
Masses setted to : 2.53, 3.93, 2.96, 5.09
Masses setted to : 2.53, 3.93, 3.70, 5.09
Masses setted to : 2.53, 3.93, 2.80, 5.09
